Start: 2025-04-04T13:10:23
ms	X1(V)	Y1(V)	I1(V)	X2(V)	Y2(V)	I2(V)	RX1(V)	RY1(V)	RX2(V)	RY2(V)

0	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
10	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
20	0.004	0.006	0.03	0.004	0.004	0.02	4.39	5.13	5.06	5.05
30	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
35	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
55	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
65	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
75	0.004	0.004	0.03	0.004	0.004	0.02	4.39	5.13	5.05	5.05
85	0.006	0.008	0.03	0.006	0.008	0.02	4.39	5.13	5.06	5.05
95	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
105	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
115	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
120	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.06	5.06
125	0.006	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.06	5.05
130	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
135	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
149	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
159	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.06
169	0.006	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.05	5.05
179	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
189	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
199	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
204	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
225	0.006	0.006	0.03	0.008	0.006	0.02	4.39	5.13	5.05	5.05
235	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
245	0.006	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.05	5.05
255	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
265	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
275	0.006	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.06	5.05
285	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.06	5.06
290	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
312	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
322	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
332	0.006	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.06	5.05
342	0.004	0.004	0.03	0.004	0.004	0.02	4.39	5.13	5.06	5.05
352	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
362	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
372	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
377	0.006	0.008	0.04	0.006	0.006	0.02	4.39	5.13	5.06	5.05
389	0.004	0.006	0.03	0.004	0.004	0.02	4.39	5.13	5.06	5.05
399	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
409	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
419	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
429	0.006	0.006	0.04	0.006	0.006	0.02	4.39	5.13	5.06	5.05
439	0.004	0.006	0.03	0.004	0.004	0.02	4.39	5.13	5.05	5.05
449	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
459	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
464	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
469	0.006	0.006	0.04	0.006	0.006	0.02	4.39	5.13	5.06	5.05
474	0.004	0.006	0.03	0.004	0.004	0.02	4.39	5.13	5.05	5.05
479	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
484	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
489	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
494	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.06
504	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.05	5.05
509	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
514	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
519	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
524	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
529	0.004	0.004	0.03	0.006	0.004	0.02	4.39	5.13	5.06	5.05
534	0.006	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.06	5.05
539	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
544	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
549	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
554	0.004	0.004	0.03	0.004	0.004	0.02	4.39	5.13	5.05	5.05
616	0.006	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.06	5.05
626	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
636	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
641	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
651	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
661	0.006	0.008	0.04	0.008	0.006	0.02	4.39	5.13	5.06	5.05
671	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
681	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
686	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
707	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
717	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
727	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
737	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
747	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
757	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
767	0.006	0.006	0.04	0.006	0.006	0.02	4.39	5.13	5.05	5.05
772	0.006	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.06	5.05
823	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.06
833	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
843	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
853	0.006	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.06	5.05
858	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.06	5.05
863	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.06
868	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
879	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
889	0.006	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.05	5.05
899	0.004	0.006	0.03	0.004	0.004	0.02	4.39	5.13	5.05	5.05
909	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
919	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
929	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
939	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
944	0.004	0.004	0.03	0.004	0.004	0.02	4.39	5.13	5.05	5.05
966	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
976	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
986	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
996	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1006	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.06	5.05
1016	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1026	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1031	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.06
1054	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1064	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.05	5.05
1074	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1084	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1094	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1104	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1114	0.004	0.006	0.03	0.006	0.004	0.02	4.39	5.13	5.05	5.05
1119	0.006	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.06	5.05
1124	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1129	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1143	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.06	5.05
1153	0.004	0.004	0.03	0.006	0.004	0.02	4.39	5.13	5.05	5.05
1163	0.006	0.008	0.03	0.008	0.006	0.02	4.39	5.13	5.05	5.05
1173	0.006	0.006	0.04	0.006	0.006	0.02	4.40	5.13	5.06	5.05
1183	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1193	0.006	0.006	0.03	0.006	0.006	0.02	4.39	5.13	5.05	5.05
1203	0.004	0.006	0.03	0.004	0.004	0.02	4.39	5.13	5.05	5.05
1208	0.006	0.008	0.04	0.008	0.006	0.02	4.39	5.13	5.06	5.05
