Time (UTC -08:00 M/d/yyyy h:mm:ss tt),Δ Prev trigger (ps),"Mean (A, Between rulers) (V)","Peak to peak (A, Between rulers) (V)","RMS ripple (A, Between rulers) (V)",Mean (D) (V),"RMS ripple (A, Between rulers) (V)"
2/3/2025 3:55:07 PM,29025405926402,-0.004162676,0.002837573,0.0003477745,NaN,0.0003477742
2/3/2025 3:55:36 PM,28896112497258,-0.004179875,0.003033268,0.0003510738,NaN,0.0003510738
2/3/2025 3:56:05 PM,28892641071881,-0.004187599,0.003131116,0.0003486343,NaN,0.0003486343
2/3/2025 3:56:34 PM,28886944801252,-0.004175408,0.002876712,0.0003533374,NaN,0.0003533374
2/3/2025 3:57:03 PM,28849197866314,-0.003959358,0.003072407,0.0004047991,NaN,0.0004047991
2/3/2025 3:57:32 PM,28906598152125,-0.004147335,0.003013699,0.0003527706,NaN,0.0003527706
2/3/2025 3:58:01 PM,28892690175959,-0.00406854,0.003111546,0.0003758379,NaN,0.0003758379
2/3/2025 3:58:29 PM,28902595379444,-0.003023689,0.003953033,0.0006261986,NaN,0.0006261986
2/3/2025 3:58:58 PM,28856764854649,-0.00404996,0.00332681,0.000393077,NaN,0.000393077
2/3/2025 3:59:27 PM,28879798327679,-0.004151897,0.002857143,0.0003500059,NaN,0.0003500059
2/3/2025 3:59:56 PM,28888380591182,-0.003313722,0.003855186,0.0005479511,NaN,0.0005479511
2/3/2025 4:00:25 PM,29019335842920,-0.003700965,0.003776908,0.0005187819,NaN,0.0005187819
2/3/2025 4:00:54 PM,29039839582417,-0.00376579,0.003796478,0.0005013797,NaN,0.0005013797
2/3/2025 4:01:23 PM,28955002179844,-0.003908897,0.002915852,0.0004075268,NaN,0.0004075268
2/3/2025 4:01:52 PM,29018914111475,-0.003558874,0.003620352,0.000548857,NaN,0.000548857
2/3/2025 4:02:21 PM,28960937471488,-0.003638576,0.003816047,0.0005398373,NaN,0.0005398373
2/3/2025 4:02:50 PM,28906470182031,-0.002217297,0.003228963,0.0004461725,NaN,0.0004461725
2/3/2025 4:03:19 PM,29018326308000,-0.002508067,0.003835617,0.000602339,NaN,0.0006023392
