Time (UTC -07:00 M/d/yyyy h:mm:ss tt),Δ Prev trigger (ps),"Mean (A, Between rulers) (V)","Peak to peak (A, Between rulers) (V)","RMS ripple (A, Between rulers) (V)",Mean (D) (V),"RMS ripple (A, Between rulers) (V)"
4/2/2025 1:53:58 PM,73239516761481,0.006283131,0.0002091485,3.302537E-05,NaN,3.302537E-05
4/2/2025 1:54:25 PM,27353157859083,0.006232549,0.0002033394,2.813614E-05,NaN,2.813614E-05
4/2/2025 1:54:53 PM,27361469556411,0.006181036,0.0002712207,2.937656E-05,NaN,2.937656E-05
4/2/2025 1:55:20 PM,27365383248516,0.006206748,0.0002076197,3.266986E-05,NaN,3.266986E-05
4/2/2025 1:55:47 PM,27411084521433,0.006195989,0.0002357508,3.404185E-05,NaN,3.404185E-05
4/2/2025 1:56:15 PM,27380849114724,0.006187862,0.0002247435,3.318793E-05,NaN,3.318793E-05
4/2/2025 1:56:42 PM,27312066603978,0.006204857,0.0002192394,3.199856E-05,NaN,3.199856E-05
4/2/2025 1:57:09 PM,27380173889796,0.006122194,0.0002018102,2.994058E-05,NaN,2.994058E-05
4/2/2025 1:57:51 PM,41263015446060,0.006121321,0.0002048681,2.974072E-05,NaN,2.974072E-05
4/2/2025 1:58:18 PM,27627862872090,0.006038116,0.0002620476,3.865457E-05,NaN,3.865457E-05
4/2/2025 1:58:46 PM,27433965804261,0.006051638,0.0002586842,4.2555E-05,NaN,4.2555E-05
4/2/2025 1:59:13 PM,27432508845711,0.006002892,0.0002204627,3.097075E-05,NaN,3.097075E-05
4/2/2025 1:59:41 PM,27532374813522,0.005997158,0.0002302472,3.229583E-05,NaN,3.229583E-05
4/2/2025 2:00:08 PM,27514086466923,0.006039341,0.0001840754,2.579953E-05,NaN,2.579953E-05
4/2/2025 2:00:36 PM,27462532239831,0.005979613,0.0002339166,4.556931E-05,NaN,4.556931E-05
4/2/2025 2:01:03 PM,27444607630470,0.005989339,0.0001797946,2.744375E-05,NaN,2.744375E-05
4/2/2025 2:01:31 PM,27442424202243,0.005929883,0.0002611298,3.550746E-05,NaN,3.549547E-05
4/2/2025 2:01:58 PM,27408567499938,0.006010828,0.0002161814,3.228017E-05,NaN,3.228017E-05
4/2/2025 2:02:26 PM,27456867183069,0.00591562,0.0002106773,3.285682E-05,NaN,3.285682E-05
4/2/2025 2:02:53 PM,27473525745690,0.005921392,0.0002201567,3.49645E-05,NaN,3.49645E-05
4/2/2025 2:03:20 PM,27396799294050,0.005875982,0.0002232143,3.416811E-05,NaN,3.416811E-05
4/2/2025 2:03:48 PM,27423234550941,0.005900089,0.0002219914,3.485865E-05,NaN,3.485865E-05
4/2/2025 2:04:15 PM,27389047269765,0.005855982,0.0001911079,2.627696E-05,NaN,2.627696E-05
4/2/2025 2:04:43 PM,27585427195923,0.005832852,0.00021557,3.053198E-05,NaN,3.053198E-05
4/2/2025 2:05:10 PM,27419670528888,0.005903689,0.0001852983,2.661825E-05,NaN,2.661825E-05
4/2/2025 2:05:38 PM,27484420781247,0.0058888,0.0002513458,2.926082E-05,NaN,2.926082E-05
4/2/2025 2:06:05 PM,27402309611766,0.005811081,0.0002308586,3.208148E-05,NaN,3.208148E-05
4/2/2025 2:06:33 PM,27468214378176,0.005794969,0.0002479823,3.289145E-05,NaN,3.289145E-05
4/2/2025 2:07:00 PM,27434534520495,0.005882371,0.0002244376,3.305858E-05,NaN,3.305858E-05
4/2/2025 2:07:27 PM,27484149485517,0.005909777,0.0002201563,3.172568E-05,NaN,3.172568E-05
4/2/2025 2:07:55 PM,27484573510695,0.005813053,0.000209149,3.159718E-05,NaN,3.159718E-05
4/2/2025 2:08:22 PM,27434948497683,0.00593014,0.0002070083,2.707622E-05,NaN,2.707622E-05
4/2/2025 2:08:50 PM,27451745722566,0.005892857,0.0001706216,2.585307E-05,NaN,2.585307E-05
4/2/2025 2:09:17 PM,27457079195658,0.005899013,0.0002311645,3.2511E-05,NaN,3.2511E-05
4/2/2025 2:09:45 PM,27365256643842,0.005914485,0.0002329987,3.391122E-05,NaN,3.391122E-05
4/2/2025 2:10:12 PM,27436108035729,0.005934855,0.0001978348,2.640217E-05,NaN,2.640217E-05
4/2/2025 2:10:40 PM,27535748928564,0.005932706,0.0002119006,3.302008E-05,NaN,3.302008E-05
4/2/2025 2:11:07 PM,27453476991243,0.005863751,0.0002137353,2.947278E-05,NaN,2.947278E-05
